-,-,-
137, -594, 799
167, -612, 807
167, -612, 807
171, -613, 767
174, -584, 755
171, -571, 743
152, -554, 723
134, -502, 672
115, -423, 559
94, -291, 407
94, -291, 407
197, -244, 326
185, -266, 504
88, -299, 617
36, -282, 626
66, -298, 622
48, -364, 765
48, -364, 765
2, -409, 841
-41, -404, 775
-15, -342, 756
9, -317, 817
9, -317, 817
-13, -305, 1013
-36, -305, 989
-30, -181, 872
99, -104, 800
183, -23, 878
149, -65, 1066
79, -168, 1204
-,-,-
195, -587, 717
162, -551, 749
230, -537, 660
230, -537, 660
254, -508, 662
261, -523, 641
239, -534, 609
213, -538, 563
190, -515, 512
183, -514, 463
179, -488, 521
160, -464, 567
160, -464, 567
122, -418, 501
128, -381, 478
137, -363, 548
109, -369, 604
55, -363, 583
8, -371, 592
8, -371, 592
-2, -381, 672
22, -369, 823
35, -336, 843
64, -306, 794
75, -321, 840
75, -321, 840
59, -287, 950
92, -216, 1059
138, -170, 1107
207, -124, 1115
266, -115, 1174
257, -133, 1290
236, -124, 1388
278, -139, 1351
323, -137, 1408
-,-,-
203, -556, 644
203, -556, 644
219, -542, 701
219, -527, 688
204, -532, 693
223, -494, 697
193, -514, 699
132, -524, 735
108, -490, 745
108, -490, 781
138, -444, 781
147, -405, 791
142, -379, 723
127, -352, 623
138, -344, 527
179, -365, 579
197, -353, 702
160, -330, 718
160, -330, 718
121, -384, 688
111, -474, 765
124, -535, 872
133, -480, 915
130, -389, 865
106, -315, 769
106, -294, 809
133, -273, 857
133, -273, 857
152, -205, 849
170, -94, 806
185, 13, 880
138, 20, 992
94, -12, 1049
94, -12, 1049
94, -35, 1044
114, -18, 1121
119, 17, 1197
63, -47, 1262
-6, -206, 1292
-6, -206, 1292
-,-,-
237, -453, 556
222, -437, 535
247, -502, 526
241, -536, 565
198, -551, 648
230, -553, 631
216, -554, 627
182, -550, 638
182, -550, 638
147, -517, 671
133, -465, 684
140, -438, 663
143, -417, 650
106, -407, 653
60, -389, 612
